Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Czech Republic,26.540667,27.144917,31.698417,32.281167,34.56925,38.598417,38.035328,32.738518,28.209,25.69975,23.957417,22.595583,20.293667,17.071667,19.063,19.09825,17.695917,19.5775,19.570583,20.7575,24.59875,24.439917,23.376333,21.729917
Estonia,0.732731,0.769368,0.887206,0.899535,0.938069,1.084494,1.117052,1.061687,0.885586,0.805003,0.804251,0.79669,0.730756,0.683499,0.719481,0.754595,0.718414,0.778338,0.752945,0.752728,0.901296,0.903421,0.885206,0.846773
Germany,0.732749,0.769379,0.886609,0.899704,0.938283,1.082705,1.116533,1.057559,0.884048,0.803922,0.8038,0.796433,0.729672,0.679923,0.716958,0.754309,0.718414,0.778338,0.752945,0.752728,0.901296,0.903421,0.885206,0.846773
Hungary,125.681425,152.646667,186.789167,214.401667,237.145833,282.179167,286.49,257.886667,224.306667,202.745833,199.5825,210.39,183.625833,172.113333,202.341667,207.944167,201.055,225.104167,223.695,232.601667,279.3325,281.523333,274.433333,270.211667
Latvia,0.750683,0.78,0.83,0.84,0.83,0.86,0.89,0.88,0.81,0.77,0.8,0.8,0.73,0.68,0.72,0.75,0.71,0.78,0.75,0.75,0.9,0.9,0.89,0.85
Lithuania,1.15848,1.15848,1.15848,1.15848,1.15848,1.15848,1.15848,1.064921,0.886488,0.805315,0.803413,0.797099,0.730921,0.682656,0.719426,0.754846,0.718576,0.778004,0.753304,0.753097,0.901296,0.903421,0.885206,0.846773
Poland,2.424983,2.6961,3.279292,3.4754,3.967108,4.346075,4.0939,4.080033,3.889075,3.657642,3.235483,3.103158,2.76795,2.409242,3.120142,3.0153,2.962848,3.256542,3.160617,3.154542,3.7695,3.942783,3.779333,3.611717
Slovak Republic,0.986305,1.017518,1.115852,1.169535,1.372995,1.528088,1.605086,1.504572,1.220637,1.070733,1.029617,0.985768,0.819702,0.709069,0.719843,0.755045,0.719355,0.778294,0.753159,0.753731,0.901659,0.904035,0.887397,0.847186
Spain,0.749396,0.761251,0.879964,0.897884,0.938283,1.082705,1.116533,1.057559,0.884048,0.803922,0.8038,0.796433,0.729672,0.679923,0.716958,0.754309,0.718414,0.778338,0.752945,0.752728,0.901296,0.903421,0.885206,0.846773
Sweden,7.133268,6.705956,7.634894,7.949868,8.262428,9.162244,10.329136,9.737123,8.086304,7.348887,7.473088,7.378249,6.75877,6.591099,7.653819,7.207524,6.493543,6.775016,6.513972,6.860785,8.434841,8.561992,8.548861,8.692518
United Kingdom,0.633668,0.640958,0.610836,0.603824,0.618057,0.660931,0.694655,0.667223,0.612472,0.54618,0.549998,0.543487,0.499772,0.543966,0.641919,0.647179,0.624141,0.633047,0.639661,0.60773,0.654545,0.740634,0.776977,0.749532
